title,summary,link,published,sentiment
READ: Trump indictment related to hush money payment,,https://cnn.it/411KYN7,,Neutral
Russian authorities detain suspect over St. Petersburg cafe blast,,https://edition.cnn.com/webview/europe/live-news/russia-ukraine-war-news-04-03-23/index.html,,Neutral
Video shows moment of deadly explosion at cafe in Russia,"A well-known Russian military blogger, Vladlen Tatarsky, was killed in an explosion at a cafe in St. Petersburg, authorities said. CNN's Matthew Chance reports.",https://www.cnn.com/videos/world/2023/04/02/russian-military-blogger-vladlen-tatarsky-killed-cafe-explosion-chance-vpx.cnn,"Tue, 04 Apr 2023 01:08:44 GMT",Negative
"Wall Street Journal reporter Evan Gershkovich appeals against arrest, Russian state media says",,https://www.cnn.com/collections/intl-ukraine-030423/,"Mon, 03 Apr 2023 13:58:58 GMT",Neutral
Suspected Chinese spy balloon was able to transmit information back to Beijing,"The suspected Chinese spy balloon that transited the US earlier this year was able to capture imagery and collect some signals intelligence from US military sites, a source familiar with the matter tells CNN.",https://www.cnn.com/2023/04/03/politics/chinese-spy-balloon/index.html,"Mon, 03 Apr 2023 13:38:22 GMT",Positive
Beijing promised to 'fight back' over Taiwan leader's US visit. But this time it has more to lose,An anticipated meeting between Taiwan's President Tsai Ing-wen and US House Speaker Kevin McCarthy in California this week has sparked concerns of a repeat of the pressure campaign China launched last year when then-Speaker Nancy Pelosi visited Taipei.,https://www.cnn.com/2023/04/04/asia/tsai-ing-wen-taiwan-mccarthy-meeting-analysis-intl-hnk/index.html,"Tue, 04 Apr 2023 07:49:53 GMT",Positive
"'Scary, cold, hungry and lonely': Volunteer soldier shares experience on front line","A young volunteer soldier, Akula, who signed up for the war at the beginning of the Russian invasion is now dealing with the trauma of war. He spoke to CNN's David McKenzie about his time on the front lines and how it has affected his mental health.",https://www.cnn.com/videos/world/2023/04/03/soldiers-russia-ukraine-war-david-mckenzie-pkg-ovn-intl-ldn-vpx.cnn,"Mon, 03 Apr 2023 12:13:24 GMT",Negative
The four astronauts NASA picked for the first crewed moon mission in 50 years,"Astronauts who will helm the first crewed moon mission in five decades were revealed on Monday, queuing up the quartet to begin training for the historic Artemis II lunar flyby that is set to take off in November 2024.",https://www.cnn.com/2023/04/03/world/artemis-2-astronaut-crew-scn/index.html,"Tue, 04 Apr 2023 11:44:30 GMT",Positive
French minister under fire for Playboy magazine cover,French government minister Marlene Schiappa has come under fire from members of her own party after appearing on the front cover of Playboy magazine.,https://www.cnn.com/2023/04/02/europe/french-minister-playboy-cover-intl/index.html,"Mon, 03 Apr 2023 11:54:59 GMT",Positive
Why did Finland's PM lose? Reporter explains the key issue voters cared about,Finland's left-wing Prime Minister Sanna Marin conceded defeat in the country's parliamentary election as the opposition right-wing National Coalition Party claimed victory in a tightly fought contest. CNN's Laila Harrak spoke with New York Times' Chief Diplomatic Correspondent Steven Erlanger to discuss how the popular politician lost the election.,https://www.cnn.com/videos/world/2023/04/03/finland-prime-minister-sanna-marin-concedes-election-right-wing-party-wins-ovn-intl-ldn-vpx.cnn,"Mon, 03 Apr 2023 10:06:11 GMT",Positive
Britain's pound is beating every other major currency this year,"The British pound crashed to a record low last fall as investors rebelled against budget plans by former Prime Minister Liz Truss. Now, it's enjoying a comeback.",https://www.cnn.com/2023/04/04/investing/british-pound-currency-dollar/index.html,"Tue, 04 Apr 2023 18:49:31 GMT",Neutral
Finland's Prime Minister Sanna Marin concedes election,Finland's left-wing Prime Minister Sanna Marin conceded defeat on Sunday in the Nordic country's parliamentary election as the opposition right-wing National Coalition Party (NCP) claimed victory in a tightly fought contest.,https://www.cnn.com/2023/04/02/europe/sanna-marin-finland-elections-concedes-intl/index.html,"Mon, 03 Apr 2023 10:24:55 GMT",Negative
Hundreds of millions at risk from Chinese shopping app malware,,https://cnn.it/40OSomK,,Neutral
The $500 billion beauty industry's 'green' ambitions are a patchwork at best. And they're falling short,"The escalating climate crisis is shifting many people's purchasing patterns and this extends to the $500 billion dollar global beauty industry which is grappling with a range of sustainability challenges across product manufacturing, packaging and disposal.",https://www.cnn.com/style/article/beauty-skincare-climate/index.html,"Thu, 06 Apr 2023 20:09:14 GMT",Positive
A new approach to a Covid-19 nasal vaccine shows early promise,"Scientists in Germany say they've been able to make a nasal vaccine that can shut down a Covid-19 infection in the nose and throat, where the virus gets its first foothold in the body.",https://www.cnn.com/2023/04/03/health/nasal-vaccine-sterilizing-immunity/index.html,"Mon, 03 Apr 2023 19:04:07 GMT",Positive
Video shows moment man throws yogurt on two women in Iran,"Video shows an incident at a store in the Iranian city of Shandiz where a man approached two unveiled women before proceeding to grab a tub of yogurt from the store and throw it, hitting both women in the head. The video then appears to show a male staff member removing the suspect from the store. CNN is not able to verify what was said immediately before the confrontation.",https://www.cnn.com/videos/world/2023/04/03/man-throws-yogurt-on-women-iran-president-raisi-hijab-is-law-nada-bashir-ovn-intl-ldn-vpx.cnn,"Mon, 03 Apr 2023 10:17:00 GMT",Negative
"Israeli military veterans, a backbone of protest movement, vow to keep demonstrating","In a sea of Israeli flags, Yiftach Golov holds one that looks a little different.",https://www.cnn.com/2023/04/03/middleeast/israel-protests-military-veterans-intl-cmd/index.html,"Mon, 03 Apr 2023 17:22:51 GMT",Neutral
"Houses, SUVs, Rs 5-6L stolen daily: How lifestyles of Ram temple theft accused changed dramatically","An investigation into Ram Temple donations in Ayodhya has revealed a stark financial uplift among accused individuals, with some building homes and acquiring SUVs despite modest known incomes. Evidence suggests significant daily siphoning of funds, estimated at Rs 6 to Rs 8 lakh, particularly during the Maha Kumbh period.  Concerns were raised about the handling of precious metal donations and the lack of proper oversight.",https://timesofindia.indiatimes.com/city/lucknow/houses-suvs-lifestyles-of-ram-temple-theft-accused-changed-dramatically-rs-6-8-lakh-siphoned-off-daily-reveals-probe/articleshow/132189680.cms,"Sun, 05 Jul 2026 07:00:38 +0530",Positive
"India's passport ranking slips, remains outside top 100: Which nations are in top 10?",,https://timesofindia.indiatimes.com/business/india-business/indias-passport-ranking-slips-remains-outside-top-100-which-nations-are-in-top-10/articleshow/132190117.cms,"Sun, 05 Jul 2026 08:51:53 +0530",Positive
"'Watching you': Rs 200 fine for littering or spitting at stations, on trains","Eastern Railway has launched a strict cleanliness drive, ""Eastern Railway is Watching You,"" imposing a Rs 200 fine for littering and spitting. Commuters can report offenders by sending photos to a dedicated WhatsApp number, 9002022780.  CCTV surveillance will also be used to catch those defacing railway premises. Passengers reporting offenders will be recognized as ""Captain Clean.""",https://timesofindia.indiatimes.com/city/kolkata/rs-200-fine-for-littering-or-spitting-at-stns-on-trains/articleshow/132186204.cms,"Sat, 04 Jul 2026 23:46:00 +0530",Positive
'Paraguay's players were absolute disgrace': South American side slammed after WC exit,"France reached the quarter-finals with a tense 1-0 win over France national football team, but the match was overshadowed by the behaviour of Paraguay national football team. Joe Hart called Paraguay's players ""an absolute disgrace"", while Micah Richards described their conduct as ""embarrassing"". Kylian Mbappe scored the winning penalty to set up a quarter-final clash with Morocco.",https://timesofindia.indiatimes.com/sports/football/fifa-world-cup/paraguays-players-were-absolute-disgrace-south-american-side-slammed-after-fifa-world-cup-exit-to-france/articleshow/132189988.cms,"Sun, 05 Jul 2026 08:16:24 +0530",Positive
'Unwell since his death': Ketan Agarwal's grandfather dies of cardiac arrest,"The grandfather of Ketan Agarwal, a Pune realtor whose death at Lohagad Fort is being investigated as murder, has passed away weeks after his grandson's demise. Devichand Agarwal reportedly suffered a cardiac arrest following the shock. Police are investigating the alleged murder of Ketan Agarwal, with his fiancée, Siya Goyal, and her alleged lover arrested. A Snapchat message from Goyal, expressing doubts about the wedding, has surfaced.",https://timesofindia.indiatimes.com/city/pune/unwell-since-his-death-ketan-agarwals-grandfather-suffers-cardiac-arrest-dies/articleshow/132189912.cms,"Sun, 05 Jul 2026 07:53:53 +0530",Neutral
"Tim Cook, Sundar Pichai, Michael Dell and other tech CEOs share July 4 greetings","Tech titans like Tim Cook, Sundar Pichai, and Elon Musk joined the nation in celebrating America's 250th Independence Day. Leaders from Apple, Google, SpaceX, and others shared heartfelt messages on social media, reflecting on the country's journey and future. Michael Dell also announced a significant donation to support American children's financial futures, highlighting a blend of patriotic sentiment and forward-looking initiatives within the tech community.",https://timesofindia.indiatimes.com/technology/tech-news/tim-cook-sundar-pichai-michael-dell-mark-benioff-and-other-tech-ceos-share-july-4-greetings/articleshow/132189640.cms,"Sun, 05 Jul 2026 06:54:38 +0530",Neutral
"British GP 2026: Antonelli claims pole after sprint win, Hamilton misses out","Silverstone witnessed a thrilling start to the British Grand Prix weekend, with Mercedes rookie Kimi Antonelli securing pole position for Sunday's race. Despite Lewis Hamilton's strong performance, topping practice and taking Sprint pole, Antonelli fought back to win the Sprint race and then claimed his fifth pole of the season. Ferrari's Leclerc and Hamilton will start second and third, setting up an exciting Mercedes-Ferrari battle.",https://timesofindia.indiatimes.com/sports/racing/british-grand-prix-2026-kimi-antonelli-claims-pole-after-sprint-win-nine-time-silverstone-winner-lewis-hamilton-misses-out/articleshow/132189909.cms,"Sun, 05 Jul 2026 08:03:26 +0530",Positive
Padma Vibhushan Teejan Bai passes away at 70; tributes pour in for Pandavani legend,"India mourns the loss of Padma Vibhushan Teejan Bai, a legendary Pandavani artist, who passed away at 69 after a prolonged illness. Hospitalized for breathing difficulties and weakness, her condition deteriorated at AIIMS, Raipur. Bai, a pioneer of the Mahabharata storytelling tradition, was celebrated for her dedication to preserving folk art, earning numerous prestigious awards throughout her illustrious career.",https://timesofindia.indiatimes.com/entertainment/hindi/music/news/padma-vibhushan-teejan-bai-passes-away-at-70-folk-art-world-mourns-loss-of-legendary-pandavani-exponent/articleshow/132190248.cms,"Sun, 05 Jul 2026 08:48:59 +0530",Positive
Kim Jong Un oversees nuclear-capable missile tests from newly repaired warship,"North Korea's Kim Jong Un has overseen tests of nuclear-capable cruise missiles and other systems aboard a newly repaired 5,000-ton destroyer, the Kang Kon. This move signals Pyongyang's intensified efforts to bolster its naval nuclear capabilities, following the recent commissioning of another similar vessel. Kim has ordered the Kang Kon to be operational within two months, underscoring a strategic shift towards expanding its sea-based nuclear arsenal.",https://timesofindia.indiatimes.com/defence/international/kim-jong-un-oversees-nuclear-capable-missile-tests-from-newly-repaired-warship/articleshow/132190222.cms,"Sun, 05 Jul 2026 09:22:15 +0530",Neutral
Sergey Brin sold his NYC real estate: Here's what Mamdani's rent freeze cost him,"Google co-founder Sergey Brin has divested his stake in a New York City real estate fund for a fraction of its value, selling for just six cents on the dollar. This significant loss comes as Mayor Zohran Mamdani's rent freeze tightens conditions for landlords. The fund, A&amp;E Real Estate, confirmed the sale, citing the challenging market for rent-stabilized apartments.",https://timesofindia.indiatimes.com/technology/tech-news/google-founder-sergey-brin-exits-new-york-real-estate-after-mayor-zohran-mamdanis-rent-freeze-sells-for-just-6-cents-on-/articleshow/132092723.cms,"Tue, 30 Jun 2026 17:35:33 +0530",Positive
France vs Paraguay becomes one of hottest World Cup matches ever,"France lead Paraguay in a FIFA World Cup 2026 Round of 16 clash played in extreme heat at Philadelphia’s Lincoln Financial Field, with temperatures near 100°F (37.8°C) and heat index reaching 105–110°F (40.6–43.3°C). The extreme conditions, under an official heat warning, have turned the match into a severe physical test, with Kylian Mbappé’s penalty separating the sides.",https://timesofindia.indiatimes.com/sports/football/fifa-world-cup/france-vs-paraguay-becomes-one-of-hottest-world-cup-matches-ever-as-extreme-heatwave-grips-philadelphia-city/articleshow/132189344.cms,"Sun, 05 Jul 2026 04:44:54 +0530",Neutral
"After 8,000 layoffs, Zuckerberg admits Meta misjudged AI progress","Meta CEO Mark Zuckerberg acknowledged internal restructuring hasn't yielded expected results, particularly in AI agent development, admitting executives 'miscalculated' timelines.  Despite significant layoffs and AI investments, progress has been slower than anticipated.  However, Zuckerberg anticipates substantial AI benefits within three to six months.  Separately, the company addressed mouse-tracking software, assuring no employee data was used for AI training and confirming future opt-in policies.",https://timesofindia.indiatimes.com/technology/tech-news/after-laying-off-8000-employees-meta-ceo-mark-zuckerberg-admits-at-town-hall-that-ai-agents-had-not-progressed-as-quickly-as-expected-and-top-executives-miscalculated-/articleshow/132178264.cms,"Sat, 04 Jul 2026 14:35:37 +0530",Neutral
"Why Delhi court denied bail to Umar Khalid, Sharjeel Imam again","A Delhi court has rejected the bail pleas of Umar Khalid and Sharjeel Imam in the 2020 riots larger conspiracy case. The judge stated the court must adhere to a Supreme Court ruling from January 5, 2026, which had previously dismissed their bail petitions. The court found no grounds to reconsider the matter, citing the apex court's prior decision.",https://timesofindia.indiatimes.com/city/delhi/qualitatively-different-footing-why-delhi-court-denied-bail-to-umar-khalid-and-sharjeel-imam-cites-sc-order/articleshow/132189781.cms,"Sun, 05 Jul 2026 07:26:35 +0530",Neutral
Watch: New York's Brooklyn Bridge catches fire during July 4 fireworks display,"During Macy's Fourth of July fireworks extravaganza, the stunning Brooklyn Bridge briefly caught fire, sending flames and dark smoke billowing up as fireworks lit up the night sky above. Eyewitnesses reported that the fire began modestly but intensified quickly, with additional explosions reportedly triggered by the blaze. The dramatic scene unfolded over approximately one minute, leaving uncertainty about any potential damage to the historic structure.",https://timesofindia.indiatimes.com/world/us/watch-new-yorks-brooklyn-bridge-catches-fire-during-july-4-fireworks-display/articleshow/132190216.cms,"Sun, 05 Jul 2026 08:49:21 +0530",Neutral
'Irreplaceable loss to art &amp; culture': PM Modi mourns demise of folk singer Teejan Bai,"Renowned Pandavani singer Teejan Bai has passed away, leaving an irreplaceable void in the world of art and culture. Prime Minister Narendra Modi and Chhattisgarh Chief Minister Vishnu Deo Sai paid glowing tributes, highlighting her immense contribution to popularizing the traditional folk art form globally. Her powerful performances, rooted in the Mahabharata, earned her prestigious national honours and brought immense pride to her state.",https://timesofindia.indiatimes.com/india/irreplaceable-loss-to-art-and-culture-pm-modi-mourns-demise-of-pandavani-singer-teejan-bai/articleshow/132190324.cms,"Sun, 05 Jul 2026 09:05:26 +0530",Neutral
'He's not over her': Taylor Swift's ex boyfriend Matty Healy sparks fresh speculation,"Taylor Swift and Travis Kelce’s wedding has sparked chaos across the world and especially in New York City as billions wait for some wedding pictures to be leaked after they got married last night. Away from the chaos in New York City, Taylor Swift’s ex boyfriend, Matty Healy’s outing last evening has convinced many that he is not over her.",https://timesofindia.indiatimes.com/sports/nfl/news/hes-not-over-her-taylor-swifts-ex-boyfriend-matty-healy-sparks-fresh-speculation-as-she-marries-travis-kelce/articleshow/132180767.cms,"Sat, 04 Jul 2026 19:12:00 +0530",Positive
Serena Williams vs Venus Williams net worth comparison: Which sister is richer,"Serena Williams and Venus Williams are more than just tennis legends. They are also smart businesswomen. Both sisters earned millions during their playing careers. But they did not stop there. They turned their success into businesses! They made smart investments, and got huge paydays through brand deals.",https://timesofindia.indiatimes.com/sports/international-sports/serena-williams-vs-venus-williams-net-worth-comparison-which-sister-is-richer-in-2026/articleshow/132180266.cms,"Sat, 04 Jul 2026 22:00:00 +0530",Positive
"NHL rumors: Flames, Kraken eye Sabres' $3.75m rising scorer","The Buffalo Sabres are drawing trade interest in Jack Quinn as they seek to improve their roster after qualifying for the Stanley Cup Playoffs. The 24-year-old winger has a low cap hit and recent production, making him a strong trade candidate with the Calgary Flames and Seattle Kraken among the teams linked.",https://timesofindia.indiatimes.com/sports/nhl/news/nhl-trade-rumor-calgary-flames-and-seattle-kraken-emerge-as-landing-spots-for-buffalo-sabres-3-75m-rising-scorer/articleshow/132182269.cms,"Sat, 04 Jul 2026 19:06:00 +0530",Positive
B'luru daycare horror: Whistleblower held; panel seeks live streaming at centres,"Following alleged toddler abuse at a Bengaluru daycare, the Karnataka Commission for Protection of Child Rights will mandate CCTV cameras with live parental access at all centers. This move aims to enhance safety and transparency. The investigation into the incident, which involved a nanny allegedly locking a child in a bathroom and another nanny accused of suspicious video recording, is ongoing.",https://timesofindia.indiatimes.com/city/bengaluru/bengaluru-capgemini-crche-horror-whistleblower-held-panel-says-daycare-centres-must-offer-live-streaming-access/articleshow/132189712.cms,"Sun, 05 Jul 2026 07:04:08 +0530",Neutral
"The empire of doubt, ally of convenience: America at 250, seen from India",,https://timesofindia.indiatimes.com/india/the-empire-of-doubt-ally-of-convenience-america-at-250-seen-from-india/articleshow/132180219.cms,"Sat, 04 Jul 2026 17:31:41 +0530",Neutral
